src_region,src_tier,dst_region,dst_tier,throughput_sent_bits_per_second,throughput_received_bits_per_second,cpu_utilization_percent
azure:eastus2,PREMIUM,gcp:europe-west4-a,STANDARD,5317689123,4728738762,6.163811331
gcp:us-west1-a,STANDARD,gcp:asia-northeast1-a,STANDARD,6036526000,5697101000,45.22432
gcp:us-east1-b,STANDARD,aws:eu-west-1,PREMIUM,4463312000,4231397000,41.035934
gcp:northamerica-northeast1-a,STANDARD,azure:germanywestcentral,PREMIUM,6229310000,5271204000,40.490286
gcp:us-west4-a,PREMIUM,gcp:asia-east1-a,PREMIUM,5480355000,5183207000,36.041768
aws:sa-east-1,PREMIUM,azure:northcentralus,PREMIUM,4918768218,3710214942,5.524431198
gcp:asia-northeast3-a,PREMIUM,gcp:asia-south1-a,STANDARD,6116811000,5592962000,34.877448
aws:ap-east-1,PREMIUM,gcp:australia-southeast1-a,STANDARD,5244128932,3809937159,5.596919369
gcp:southamerica-west1-a,PREMIUM,gcp:us-central1-a,PREMIUM,8743154000,5152624000,28.681054
gcp:asia-south2-a,PREMIUM,aws:ap-northeast-1,PREMIUM,4826252000,4549087000,34.945668
gcp:europe-central2-a,PREMIUM,gcp:us-west1-a,PREMIUM,6175240000,5089969000,32.105249
gcp:asia-east2-a,PREMIUM,gcp:us-west4-a,STANDARD,6888487000,5172315000,33.994167
azure:westus2,PREMIUM,aws:ap-southeast-1,PREMIUM,2660448003,2022908072,4.266122635
gcp:europe-west6-a,STANDARD,aws:us-west-1,PREMIUM,5295755000,4569248000,30.935892
aws:us-west-2,PREMIUM,gcp:southamerica-east1-a,PREMIUM,5152298520,3496288544,4.387571336
gcp:southamerica-east1-a,STANDARD,azure:uksouth,PREMIUM,5164719000,4529453000,28.521774
gcp:asia-southeast1-a,STANDARD,azure:westus3,PREMIUM,7001250000,5146247000,29.775141
gcp:asia-east1-a,STANDARD,gcp:northamerica-northeast1-a,PREMIUM,7826847000,4830349000,29.493638
aws:ap-northeast-2,PREMIUM,azure:canadacentral,PREMIUM,5162087424,3341571902,5.332310579
aws:me-south-1,PREMIUM,gcp:us-central1-a,STANDARD,5513306692,3518565171,4.998079681
gcp:us-east4-a,PREMIUM,aws:ap-southeast-2,PREMIUM,5013075000,4270607000,27.135814
azure:koreacentral,PREMIUM,gcp:us-east1-b,PREMIUM,6680713316,5080008512,6.072630254
gcp:northamerica-northeast2-a,PREMIUM,gcp:australia-southeast2-a,PREMIUM,9231827000,4684508000,24.561834
gcp:europe-west4-a,PREMIUM,gcp:asia-southeast1-a,PREMIUM,3323866000,3153589000,27.323669
gcp:australia-southeast1-a,PREMIUM,aws:us-east-2,PREMIUM,4811794000,3949173000,26.538851
gcp:us-east4-a,STANDARD,gcp:asia-southeast2-a,PREMIUM,8190127000,4264828000,24.785094
azure:westus,PREMIUM,gcp:asia-south1-a,PREMIUM,4096119191,2847870153,4.542642008
gcp:asia-east2-a,STANDARD,aws:ca-central-1,PREMIUM,7061434000,4350849000,24.608648
gcp:europe-west3-a,STANDARD,gcp:asia-northeast2-a,PREMIUM,8838138000,4099633000,19.384952
aws:ap-northeast-3,PREMIUM,gcp:europe-west6-a,PREMIUM,5073990706,2985695993,4.528797742
